state,date_released,date_added,age,percent_of_vac,percent_coverage,dose,population
Alabama,3/4/2021,3/5/2021,16_64,44.10%,,286050,
Alabama,3/4/2021,3/5/2021,65_69,13.20%,,85837,
Alabama,3/4/2021,3/5/2021,70_74,13.20%,,85640,
Alabama,3/4/2021,3/5/2021,75_100,29.50%,,191010,
Arizona,,,,,,,
Alaska,,3/5/2021,10_19,,,3700,
Alaska,,3/5/2021,20_29,,,14800,
Alaska,,3/5/2021,30_39,,,22400,
Alaska,,3/5/2021,40_49,,,22100,
Alaska,,3/5/2021,50_59,,,28500,
Alaska,,3/5/2021,60_69,,,38600,
Alaska,,3/5/2021,70_79,,,25100,
Alaska,,3/5/2021,80_100,,,8700,
Arkansas,,,,,,,
California,,3/5/2021,0_17,0.10%,,,
California,,3/5/2021,18_49,28.20%,,,
California,,3/5/2021,50_64,16.90%,,,
California,,3/5/2021,65_100,54.80%,,,
Colorado,3/3/2021,3/5/2021,0_9,0.00%,,,
Colorado,3/3/2021,3/5/2021,10_19,0.45%,,,
Colorado,3/3/2021,3/5/2021,10_29,7.39%,,,
Colorado,3/3/2021,3/5/2021,30_39,10.92%,,,
Colorado,3/3/2021,3/5/2021,40_49,10.46%,,,
Colorado,3/3/2021,3/5/2021,50_59,9.87%,,,
Colorado,3/3/2021,3/5/2021,60_69,20.12%,,,
Colorado,3/3/2021,3/5/2021,70_79,28.11%,,,
Colorado,3/3/2021,3/5/2021,80_100,12.67%,,,
Connecticut,3/4/2021,3/5/2021,0_15,,,0,
Connecticut,3/4/2021,3/5/2021,16_24,,,18000,
Connecticut,3/4/2021,3/5/2021,25_34,,,47000,
Connecticut,3/4/2021,3/5/2021,35_44,,,49000,
Connecticut,3/4/2021,3/5/2021,45_54,,,58000,
Connecticut,3/4/2021,3/5/2021,55_64,,,71000,
Connecticut,3/4/2021,3/5/2021,65_74,,,193000,
Connecticut,3/4/2021,3/5/2021,75_100,,,201000,
Delaware,3/4/2021,3/5/2021,0_17,,,0,
Delaware,3/4/2021,3/5/2021,18_34,,,25204,
Delaware,3/4/2021,3/5/2021,35_49,,,33448,
Delaware,3/4/2021,3/5/2021,50_64,,,42043,
